SCREEN frame=(0.0, 0.0, 1728.0, 1117.0) visible=(0.0, 0.0, 1728.0, 1084.0) backing=2.0
SCREENS ["(0.0, 0.0, 1728.0, 1117.0)@2.0"]
# écran AppKit (0.00,0.00 1728.00x1117.00)  visible (0.00,0.00 1728.00x1084.00)  scale 2.0
# source d'origine : com.apple.keylayout.French
A-font	font=11.0	caretCG=(699.17,504.00 0.00x13.00)	hud=(657.00,494.00 84.00x77.00)	caps=(684.50,521.50 29.00x22.00)	dxCenter=-0.17	dxLeft=-14.67	dyTop_caretBottom=4.50	dyTop_caretTop=17.50	dyBottom_caretBottom=26.50
A-font	font=13.0	caretCG=(699.20,501.00 0.00x16.00)	hud=(657.00,494.00 84.00x77.00)	caps=(684.50,521.50 29.00x22.00)	dxCenter=-0.20	dxLeft=-14.70	dyTop_caretBottom=4.50	dyTop_caretTop=20.50	dyBottom_caretBottom=26.50
A-font	font=18.0	caretCG=(699.60,496.00 0.00x21.00)	hud=(658.00,494.00 84.00x77.00)	caps=(685.50,521.50 29.00x22.00)	dxCenter=0.40	dxLeft=-14.10	dyTop_caretBottom=4.50	dyTop_caretTop=25.50	dyBottom_caretBottom=26.50
A-font	font=24.0	caretCG=(699.31,489.00 0.00x28.00)	hud=(657.00,494.00 84.00x77.00)	caps=(684.50,521.50 29.00x22.00)	dxCenter=-0.31	dxLeft=-14.81	dyTop_caretBottom=4.50	dyTop_caretTop=32.50	dyBottom_caretBottom=26.50
A-font	font=36.0	caretCG=(699.15,474.00 0.00x43.00)	hud=(657.00,494.00 84.00x77.00)	caps=(684.50,521.50 29.00x22.00)	dxCenter=-0.15	dxLeft=-14.65	dyTop_caretBottom=4.50	dyTop_caretTop=47.50	dyBottom_caretBottom=26.50
A-font	font=48.0	caretCG=(699.77,461.00 0.00x56.00)	hud=(658.00,494.00 84.00x77.00)	caps=(685.50,521.50 29.00x22.00)	dxCenter=0.23	dxLeft=-14.27	dyTop_caretBottom=4.50	dyTop_caretTop=60.50	dyBottom_caretBottom=26.50
B-centre	font=13.0	caretCG=(863.20,543.00 0.00x16.00)	hud=(821.00,536.00 84.00x77.00)	caps=(848.50,563.50 29.00x22.00)	dxCenter=-0.20	dxLeft=-14.70	dyTop_caretBottom=4.50	dyTop_caretTop=20.50	dyBottom_caretBottom=26.50
B-gauche	font=13.0	caretCG=(1.20,543.00 0.00x16.00)	hud=(-25.00,536.00 84.00x77.00)	caps=(2.50,563.50 29.00x22.00)	dxCenter=15.80	dxLeft=1.30	dyTop_caretBottom=4.50	dyTop_caretTop=20.50	dyBottom_caretBottom=26.50
B-droite-100	font=13.0	caretCG=(1627.20,543.00 0.00x16.00)	hud=(1585.00,536.00 84.00x77.00)	caps=(1612.50,563.50 29.00x22.00)	dxCenter=-0.20	dxLeft=-14.70	dyTop_caretBottom=4.50	dyTop_caretTop=20.50	dyBottom_caretBottom=26.50
B-droite-40	font=13.0	caretCG=(1687.20,543.00 0.00x16.00)	hud=(1645.00,536.00 84.00x77.00)	caps=(1672.50,563.50 29.00x22.00)	dxCenter=-0.20	dxLeft=-14.70	dyTop_caretBottom=4.50	dyTop_caretTop=20.50	dyBottom_caretBottom=26.50
B-droite-4	font=13.0	caretCG=(1723.20,543.00 0.00x16.00)	hud=(1669.00,536.00 84.00x77.00)	caps=(1696.50,563.50 29.00x22.00)	dxCenter=-12.20	dxLeft=-26.70	dyTop_caretBottom=4.50	dyTop_caretTop=20.50	dyBottom_caretBottom=26.50
B-bas-60	font=13.0	caretCG=(863.20,1041.00 0.00x16.00)	hud=(821.00,1034.00 84.00x77.00)	caps=(848.50,1061.50 29.00x22.00)	dxCenter=-0.20	dxLeft=-14.70	dyTop_caretBottom=4.50	dyTop_caretTop=20.50	dyBottom_caretBottom=26.50
B-bas-20	font=13.0	caretCG=(863.20,1081.00 0.00x16.00)	hud=(821.00,1027.00 84.00x77.00)	caps=(848.50,1054.50 29.00x22.00)	dxCenter=-0.20	dxLeft=-14.70	dyTop_caretBottom=-42.50	dyTop_caretTop=-26.50	dyBottom_caretBottom=-20.50
B-bas-2	font=13.0	caretCG=(863.20,1099.00 0.00x16.00)	hud=(821.00,1045.00 84.00x77.00)	caps=(848.50,1072.50 29.00x22.00)	dxCenter=-0.20	dxLeft=-14.70	dyTop_caretBottom=-42.50	dyTop_caretTop=-26.50	dyBottom_caretBottom=-20.50
B-haut-40	font=13.0	caretCG=(863.20,24.00 0.00x16.00)	hud=(821.00,17.00 84.00x77.00)	caps=(848.50,44.50 29.00x22.00)	dxCenter=-0.20	dxLeft=-14.70	dyTop_caretBottom=4.50	dyTop_caretTop=20.50	dyBottom_caretBottom=26.50
B-haut-10	font=13.0	caretCG=(863.20,-6.00 0.00x16.00)	hud=(821.00,-13.00 84.00x77.00)	caps=(848.50,14.50 29.00x22.00)	dxCenter=-0.20	dxLeft=-14.70	dyTop_caretBottom=4.50	dyTop_caretTop=20.50	dyBottom_caretBottom=26.50
B-coin-BD	font=13.0	caretCG=(1723.20,1097.00 0.00x16.00)	hud=(1669.00,1043.00 84.00x77.00)	caps=(1696.50,1070.50 29.00x22.00)	dxCenter=-12.20	dxLeft=-26.70	dyTop_caretBottom=-42.50	dyTop_caretTop=-26.50	dyBottom_caretBottom=-20.50
B-coin-HD	font=13.0	caretCG=(1723.20,-6.00 0.00x16.00)	hud=(1669.00,-13.00 84.00x77.00)	caps=(1696.50,14.50 29.00x22.00)	dxCenter=-12.20	dxLeft=-26.70	dyTop_caretBottom=4.50	dyTop_caretTop=20.50	dyBottom_caretBottom=26.50
B-coin-BG	font=13.0	caretCG=(1.20,1097.00 0.00x16.00)	hud=(-25.00,1043.00 84.00x77.00)	caps=(2.50,1070.50 29.00x22.00)	dxCenter=15.80	dxLeft=1.30	dyTop_caretBottom=-42.50	dyTop_caretTop=-26.50	dyBottom_caretBottom=-20.50
C-droite-140	font=13.0	caretCG=(1587.20,543.00 0.00x16.00)	hud=(1545.00,536.00 84.00x77.00)	caps=(1572.50,563.50 29.00x22.00)	dxCenter=-0.20	dxLeft=-14.70	dyTop_caretBottom=4.50	dyTop_caretTop=20.50	dyBottom_caretBottom=26.50
C-droite-120	font=13.0	caretCG=(1607.20,543.00 0.00x16.00)	hud=(1565.00,536.00 84.00x77.00)	caps=(1592.50,563.50 29.00x22.00)	dxCenter=-0.20	dxLeft=-14.70	dyTop_caretBottom=4.50	dyTop_caretTop=20.50	dyBottom_caretBottom=26.50
C-droite-100	font=13.0	caretCG=(1627.20,543.00 0.00x16.00)	hud=(1585.00,536.00 84.00x77.00)	caps=(1612.50,563.50 29.00x22.00)	dxCenter=-0.20	dxLeft=-14.70	dyTop_caretBottom=4.50	dyTop_caretTop=20.50	dyBottom_caretBottom=26.50
C-droite-80	font=13.0	caretCG=(1647.20,543.00 0.00x16.00)	hud=(1605.00,536.00 84.00x77.00)	caps=(1632.50,563.50 29.00x22.00)	dxCenter=-0.20	dxLeft=-14.70	dyTop_caretBottom=4.50	dyTop_caretTop=20.50	dyBottom_caretBottom=26.50
C-droite-60	font=13.0	caretCG=(1667.20,543.00 0.00x16.00)	hud=(1625.00,536.00 84.00x77.00)	caps=(1652.50,563.50 29.00x22.00)	dxCenter=-0.20	dxLeft=-14.70	dyTop_caretBottom=4.50	dyTop_caretTop=20.50	dyBottom_caretBottom=26.50
C-droite-40	font=13.0	caretCG=(1687.20,543.00 0.00x16.00)	hud=(1645.00,536.00 84.00x77.00)	caps=(1672.50,563.50 29.00x22.00)	dxCenter=-0.20	dxLeft=-14.70	dyTop_caretBottom=4.50	dyTop_caretTop=20.50	dyBottom_caretBottom=26.50
C-droite-20	font=13.0	caretCG=(1707.20,543.00 0.00x16.00)	hud=(1665.00,536.00 84.00x77.00)	caps=(1692.50,563.50 29.00x22.00)	dxCenter=-0.20	dxLeft=-14.70	dyTop_caretBottom=4.50	dyTop_caretTop=20.50	dyBottom_caretBottom=26.50
C-droite-10	font=13.0	caretCG=(1717.20,543.00 0.00x16.00)	hud=(1669.00,536.00 84.00x77.00)	caps=(1696.50,563.50 29.00x22.00)	dxCenter=-6.20	dxLeft=-20.70	dyTop_caretBottom=4.50	dyTop_caretTop=20.50	dyBottom_caretBottom=26.50
C-droite-2	font=13.0	caretCG=(1725.20,543.00 0.00x16.00)	hud=(1669.00,536.00 84.00x77.00)	caps=(1696.50,563.50 29.00x22.00)	dxCenter=-14.20	dxLeft=-28.70	dyTop_caretBottom=4.50	dyTop_caretTop=20.50	dyBottom_caretBottom=26.50
C-bas-80	font=13.0	caretCG=(863.20,1021.00 0.00x16.00)	hud=(821.00,1014.00 84.00x77.00)	caps=(848.50,1041.50 29.00x22.00)	dxCenter=-0.20	dxLeft=-14.70	dyTop_caretBottom=4.50	dyTop_caretTop=20.50	dyBottom_caretBottom=26.50
C-bas-60	font=13.0	caretCG=(863.20,1041.00 0.00x16.00)	hud=(821.00,1034.00 84.00x77.00)	caps=(848.50,1061.50 29.00x22.00)	dxCenter=-0.20	dxLeft=-14.70	dyTop_caretBottom=4.50	dyTop_caretTop=20.50	dyBottom_caretBottom=26.50
C-bas-50	font=13.0	caretCG=(863.20,1051.00 0.00x16.00)	hud=(821.00,1044.00 84.00x77.00)	caps=(848.50,1071.50 29.00x22.00)	dxCenter=-0.20	dxLeft=-14.70	dyTop_caretBottom=4.50	dyTop_caretTop=20.50	dyBottom_caretBottom=26.50
C-bas-40	font=13.0	caretCG=(863.20,1061.00 0.00x16.00)	hud=(821.00,1054.00 84.00x77.00)	caps=(848.50,1081.50 29.00x22.00)	dxCenter=-0.20	dxLeft=-14.70	dyTop_caretBottom=4.50	dyTop_caretTop=20.50	dyBottom_caretBottom=26.50
C-bas-30	font=13.0	caretCG=(863.20,1071.00 0.00x16.00)	hud=(821.00,1064.00 84.00x77.00)	caps=(848.50,1091.50 29.00x22.00)	dxCenter=-0.20	dxLeft=-14.70	dyTop_caretBottom=4.50	dyTop_caretTop=20.50	dyBottom_caretBottom=26.50
C-bas-20	font=13.0	caretCG=(863.20,1081.00 0.00x16.00)	hud=(821.00,1027.00 84.00x77.00)	caps=(848.50,1054.50 29.00x22.00)	dxCenter=-0.20	dxLeft=-14.70	dyTop_caretBottom=-42.50	dyTop_caretTop=-26.50	dyBottom_caretBottom=-20.50
C-bas-10	font=13.0	caretCG=(863.20,1091.00 0.00x16.00)	hud=(821.00,1037.00 84.00x77.00)	caps=(848.50,1064.50 29.00x22.00)	dxCenter=-0.20	dxLeft=-14.70	dyTop_caretBottom=-42.50	dyTop_caretTop=-26.50	dyBottom_caretBottom=-20.50
C-bas-2	font=13.0	caretCG=(863.20,1099.00 0.00x16.00)	hud=(821.00,1045.00 84.00x77.00)	caps=(848.50,1072.50 29.00x22.00)	dxCenter=-0.20	dxLeft=-14.70	dyTop_caretBottom=-42.50	dyTop_caretTop=-26.50	dyBottom_caretBottom=-20.50
# source restaurée : com.apple.keylayout.French
