SCREEN[0] frame=(0.0, 0.0, 1728.0, 1117.0) visible=(0.0, 0.0, 1728.0, 1084.0) scale=2.0
SCREEN[1] frame=(-108.0, 1117.0, 1920.0, 1080.0) visible=(-108.0, 1117.0, 1920.0, 1050.0) scale=1.0
# écran AppKit (-108.00,1117.00 1920.00x1080.00)  CG (-108.00,-1080.00 1920.00x1080.00)  visible (-108.00,1117.00 1920.00x1050.00)  scale 1.0
# réserve basse (Dock) = visibleFrame.minY - frame.minY = 0.00 pt
# source d'origine : com.apple.keylayout.French
A-font-11	font=11.0	caretCG=(851.17,-553.00 0.00x13.00)	hud=(809.00,-563.00 84.00x77.00)	caps=(836.50,-535.50 29.00x22.00)	capsW=29.00	dxCenter=-0.17	dxLeft=-0.17	dyTop_caretBottom=4.50	dyBottom_caretTop=39.50
A-font-13	font=13.0	caretCG=(851.20,-556.00 0.00x16.00)	hud=(809.00,-563.00 84.00x77.00)	caps=(836.50,-535.50 29.00x22.00)	capsW=29.00	dxCenter=-0.20	dxLeft=-0.20	dyTop_caretBottom=4.50	dyBottom_caretTop=42.50
A-font-18	font=18.0	caretCG=(851.60,-561.00 0.00x21.00)	hud=(810.00,-563.00 84.00x77.00)	caps=(837.50,-535.50 29.00x22.00)	capsW=29.00	dxCenter=0.40	dxLeft=0.40	dyTop_caretBottom=4.50	dyBottom_caretTop=47.50
A-font-24	font=24.0	caretCG=(851.31,-568.00 0.00x28.00)	hud=(809.00,-563.00 84.00x77.00)	caps=(836.50,-535.50 29.00x22.00)	capsW=29.00	dxCenter=-0.31	dxLeft=-0.31	dyTop_caretBottom=4.50	dyBottom_caretTop=54.50
A-font-36	font=36.0	caretCG=(851.15,-583.00 0.00x43.00)	hud=(809.00,-563.00 84.00x77.00)	caps=(836.50,-535.50 29.00x22.00)	capsW=29.00	dxCenter=-0.15	dxLeft=-0.15	dyTop_caretBottom=4.50	dyBottom_caretTop=69.50
A-font-48	font=48.0	caretCG=(851.77,-596.00 0.00x56.00)	hud=(810.00,-563.00 84.00x77.00)	caps=(837.50,-535.50 29.00x22.00)	capsW=29.00	dxCenter=0.23	dxLeft=0.23	dyTop_caretBottom=4.50	dyBottom_caretTop=82.50
S-droite-140	font=13.0	caretCG=(1671.20,-556.00 0.00x16.00)	hud=(1629.00,-563.00 84.00x77.00)	caps=(1656.50,-535.50 29.00x22.00)	capsW=29.00	dxCenter=-0.20	dxLeft=-0.20	dyTop_caretBottom=4.50	dyBottom_caretTop=42.50
S-droite-100	font=13.0	caretCG=(1711.20,-556.00 0.00x16.00)	hud=(1669.00,-563.00 84.00x77.00)	caps=(1696.50,-535.50 29.00x22.00)	capsW=29.00	dxCenter=-0.20	dxLeft=-0.20	dyTop_caretBottom=4.50	dyBottom_caretTop=42.50
S-droite-60	font=13.0	caretCG=(1751.20,-556.00 0.00x16.00)	hud=(1709.00,-563.00 84.00x77.00)	caps=(1736.50,-535.50 29.00x22.00)	capsW=29.00	dxCenter=-0.20	dxLeft=-0.20	dyTop_caretBottom=4.50	dyBottom_caretTop=42.50
S-droite-40	font=13.0	caretCG=(1771.20,-556.00 0.00x16.00)	hud=(1729.00,-563.00 84.00x77.00)	caps=(1756.50,-535.50 29.00x22.00)	capsW=29.00	dxCenter=-0.20	dxLeft=-0.20	dyTop_caretBottom=4.50	dyBottom_caretTop=42.50
S-droite-20	font=13.0	caretCG=(1791.20,-556.00 0.00x16.00)	hud=(1749.00,-563.00 84.00x77.00)	caps=(1776.50,-535.50 29.00x22.00)	capsW=29.00	dxCenter=-0.20	dxLeft=-0.20	dyTop_caretBottom=4.50	dyBottom_caretTop=42.50
S-droite-10	font=13.0	caretCG=(1801.20,-556.00 0.00x16.00)	hud=(1753.00,-563.00 84.00x77.00)	caps=(1780.50,-535.50 29.00x22.00)	capsW=29.00	dxCenter=-6.20	dxLeft=-6.20	dyTop_caretBottom=4.50	dyBottom_caretTop=42.50
